GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.pm.controller,UserController,0,27,0,0,0,6,0,6,0,6
backend,com.pm.controller,TaskController,0,37,0,0,0,8,0,8,0,8
backend,com.pm.controller,ProjectController,0,36,0,0,0,8,0,8,0,8
backend,com.pm.service,ProjectServiceImpl,4,250,5,25,1,64,5,20,0,10
backend,com.pm.service,UserServiceImpl,0,121,3,17,0,31,3,14,0,7
backend,com.pm.service,TaskServiceImpl,0,177,7,11,0,41,7,11,0,9
backend,com.pm,BackendApplication,5,3,0,0,2,1,1,1,1,1
backend,com.pm.entity,Project,30,66,0,0,1,11,1,19,1,19
backend,com.pm.entity,User,21,45,0,0,1,8,1,13,1,13
backend,com.pm.entity,Task,39,87,0,0,1,14,1,25,1,25
backend,com.pm.entity,ParentTask,9,17,0,0,1,4,1,5,1,5
backend,com.pm.exception,UserException,0,4,0,0,0,2,0,1,0,1
backend,com.pm.configuration,CrossOrgin,0,35,0,0,0,3,0,2,0,2
